编号,文件名,资料位置,建议插入位置,图片内容,状态
182,182-检查点身份三件套.png,content/part-05-frameworks/n20-langgraph-与状态图/README.md,生产边界之后,thread_id、checkpointer和Schema版本核验,已生成
183,183-供应商切换演练.png,content/part-05-frameworks/n21-其他框架与供应商抽象/README.md,生产边界之后,主备供应商切换及回归、格式和能力验证,已生成
184,184-评估样本最小契约.png,content/part-06-quality-safety/n22-agent-评估基础/README.md,最小实现之后,评估样本ID、场景、结果、工具预算和版本字段,已生成
185,185-LLM裁判生产隔离.png,content/part-06-quality-safety/n23-llm-裁判与评估进阶/README.md,生产边界之后,只评分、禁工具、注入隔离、脱敏和人工复核,已生成
186,186-生产基准四层隔离.png,content/part-06-quality-safety/n24-基准与能力边界/README.md,生产边界之后,公开、开发、冻结测试、隐藏集及新鲜样本,已生成
187,187-可观测采样策略.png,content/part-06-quality-safety/n25-可观测性与系统调试/README.md,生产边界之后,错误全采样、普通比例采样、高基数和脱敏,已生成
188,188-执行闸门五项检查.png,content/part-06-quality-safety/n26-安全-权限与人工审批/README.md,执行闸门之后,身份、权限、参数、资源范围和审批令牌,已生成
189,189-部分成功的恢复策略.png,content/part-06-quality-safety/n27-测试-回归与故障恢复/README.md,错误处理与恢复之后,逐项状态、失败重试补偿与幂等保护,已生成
190,190-缓存零命中排查.png,content/part-07-production/n28-成本与性能工程/README.md,故障定位之后,稳定前缀、缓存键、随机字段、TTL和参数检查,已生成
191,191-Agent生产韧性组合.png,content/part-07-production/n29-生产部署/README.md,韧性与发布之后,超时、熔断、限流、重试、幂等、降级和回滚,已生成
192,192-Coding Agent外部完成判定.png,content/part-09-projects/p5-coding-agent/README.md,外部完成判定之后,目标测试、静态检查、diff审查和验收证据,已生成
193,193-Coding Agent检查点策略.png,content/part-09-projects/p5-coding-agent/README.md,检查点之后,复现、补丁、测试、回归与证据关键检查点,已生成
194,194-代码库地图构建.png,content/part-09-projects/p5-coding-agent/README.md,先建立仓库地图之后,仓库规则、目录、入口、测试和变更边界,已生成
195,195-Computer Use每步重观测.png,content/part-08-frontiers/n32-多模态与-computer-use/README.md,操作循环之后,动作后等待稳定、重截图和状态验证,已生成
196,196-语音打断与静默处理.png,content/part-08-frontiers/n33-语音与实时交互-agent/README.md,生产实践之后,barge-in、工具静默、进度提示、重连与防重复,已生成
197,197-后训练数据最小形态.png,content/part-08-frontiers/n34-模型后训练与-agent-能力塑形/README.md,最小数据形态之后,输入、动作、工具结果、输出、偏好和奖励字段,已生成
198,198-能力边界矩阵.png,content/part-06-quality-safety/n24-基准与能力边界/README.md,内部能力矩阵之后,四态能力分类、上线范围和人工兜底,已生成
199,199-项目讲解STAR增强.png,content/part-10-interview/m5-项目讲解与追问/README.md,Q8之后,真实约束、个人任务、行动、结果与复盘,已生成
200,200-系统设计收尾.png,content/part-10-interview/m2-系统设计题/README.md,Q6之后,指标、风险、降级、监控和迭代计划,已生成
201,201-资料更新雷达.png,content/appendices/app-a-资料与书单/README.md,保持信息更新的渠道之后,官方文档、工程博客、Release、论文和社区,已生成
202,202-引用注册表单点维护.png,content/references/README.md,Citation规则之后,引用链接、版本和适用章节集中维护,已生成
203,203-编辑规范质量门禁.png,standards/editorial-guide.md,完成标准之前,结构、来源、代码、去重、术语和状态检查,已生成
204,204-章节融合任务流水线.png,docs/superpowers/plans/2026-08-25-full-content-fusion.md,任务总览之后,目录源、映射、正文、项目面试、质检和发布,已生成
205,205-映射审计门禁.png,mapping/audit-report.md,融合前门禁之后,目录、拆分、上下文样板、批量融合、覆盖与质量门禁,已生成
206,206-迁移动作分布.png,mapping/README.md,迁移动作说明之后,主融合、补充融合、拆分融合、压缩关联和其他动作,已生成
207,207-质量问题清理看板.png,mapping/README.md,质量标记之后,提示残留、引用占位、HTML分片、无效链接和题库重复,已生成
208,208-理论章节标准结构.png,standards/editorial-guide.md,理论章节推荐结构之后,理论章节从摘要到来源说明的八部分结构,已生成
209,209-三类代码分级.png,standards/editorial-guide.md,代码分级之后,伪代码、最小示例和配套项目的用途差异,已生成
210,210-章节状态流转.png,standards/editorial-guide.md,章节状态之后,planned、drafting、reviewed和published状态,已生成
211,211-全书内容融合三层架构.png,docs/superpowers/plans/2026-08-25-full-content-fusion.md,架构之后,book.yaml、映射JSON和content目录三层事实源,已生成
212,212-理论项目面试三类章节分工.png,docs/superpowers/plans/2026-08-25-full-content-fusion.md,任务分工之后,理论讲机制、项目重实现、面试练表达,已生成
213,213-Agent学习图谱终点.png,content/frontmatter/README.md,知识地图结尾,基础、原语、编排、RAG上下文、框架、安全生产、项目和面试完整图谱,已生成
